Technical Knowledge,Personal traits,Social Characteristics,Motivating Factors
Well-trained,Freak,Lack of social skills,Revenge
IT knowledged,Anti-social,Marginalized,Lust
Well-networked,Impatient,Inferiority complex,Felt insulted
Resourceful,Selfish,Broken families,Anger
Skilllful,Insensitive,Brain-washed,Peer pressure
Strategic Planner,Unethical,Need to outsmart others,Fun
Intelligent,Inhuman,Manipulated,Greed
Well-supported,Egoistic,Unlawful,Political beliefs
Smart,Vengeful,Inferiority complex,Emotions
Bully,"Psychiatric
conditions ",Insufficient Social Support,Boredom
Opportunists,Identity crisis,Rebellious,"Religious
fundamentalism "
Well-trained,Aggresive,Loner,Monetary gain
Bully,Impatient,Broken relation,Mistrust
Well-trained,Vengeful,"Reinforcement
available ",Lust
IT knowledged,Coercive,Misguided,Revenge
Skillfull,Loner,Low self-worth,Attention seeking
Opportunists,Emotional,Anti-social,Intolerance
Goal oriented,Coward,"Intolerance to diversity
of opinion",Anger
Intelligent,Attacker,Rebellious,Lust
Knowlegeable,Silent attacker,Loner,Money
Sharp,Curious,Social dissatisfaction,Enhancing self-worth
Talented,Revengeful,Religious hatred,"Religious
fundamentalism "
Resourceful,Indecisive,Not loyal to country,Spreading hate
Know how to hack,Intolerant,Marginalized,Attention seeking
Hacker,Insensitive,Broken emotions,"No fear of
punishment "
Well-networked,Ruthless,Hatred from society,"Concealed
existence "
Trained,Egoistic,Disrespectful to society,Disregard for law 
Well-supported,Anti-social,Mass destruction,Thrill-seeking 
Computer engineers,Coercive,Powerful,Political beliefs
Full technical knowledge,Obstinate,Outsmarter,Need to control
Smart,Psychological disorder,Rationalization,Emotions
Creative,Personality disorder,Social dissatisfaction,Thrill-seeking 
Opportunists,Attention seeker,Marginalized,Self worth
Interested in technology,Headstrong,Rebellious,Manipulate others
Skillfull,Anti-social,Insufficient Social Support,Revenge
Know people who are skilled,Inhuman,Inferiority complex,Lust
It engineer,Selfish,Low self-worth,Anger
Hacker,Egoistic,Lack of social skills,Political support
Intelligent,Insensitive,Anti-establishment,Curosity
